自增序列,id
填报单位,submit_company
户数,house_no
序号,order_no
组别,zubie
单位,company
工号,company_no
姓名,name
性别,sex
年龄,age
现居住址,live_address
原地址（户口所在地）,origin_address
在武汉居住地,wuhan_address
楼栋,building
房号,room_no
健康状况,healthy
有无咳嗽、胸闷等不适应症状,is_have_symptom
体温,temperature
其他症状,symptom
发病日期,sick_date
是否到县医院留观,is_to_hospital
其中温度≥37.3℃（武汉接触史）,is_high_temperature
功能部门,gn_depart
部门,depart
身份证号,card_no
被排查人联系方式,phone
户主联系电话,huzhu_phone
村,village
排查日登记地址,register_address
从何地流入-其中：接触武汉华南海鲜城,source_place_hnhxc
是否武汉返回人员,source_place_wh
是否黄冈返回人员,source_place_hg
是否孝感返回人员,source_place_xg
是否鄂州返回人员,source_place_ez
是否随州返回人员,source_place_sz
是否荆州返回人员,source_place_jz
是否其他地方返回人员,source_place_other
外地返回时间,return_time
到赤日期,arrive_date
离开武汉日期,leave_wuhan_time
排查方式,paicha_type
乡镇办场区分管或包保责任人,duty_phone1
小区、村民小组包保责任人,duty_person2
排查人,paicha_person
排查人联系方式,paicha_phone
排查责任人,paicha_duty_person
排查责任人电话,paicha_duty_phone
排查日期,paicha_date
乡镇名称,town_name
主要负责人（签字）,major_duty_person
原始表名,source_table
excel表名,excel_name
sheet名,sheet_name
入库时间,insert_time
曾用名,name_used
与户主关系,relation
出生日期,birthday
民族,nation
籍贯,origin
婚姻状况,marriage
政治面貌,political_status
学历,education
宗教信仰,religion
职业,profession
残疾人员证号,disability_no
军役状况,army_status
社保证号,social_no
低保证号,dibao_no
车辆类型,vehicle_type
车牌号码,vehicle_no
备注1,remark1
备注2,remark2
